Name,Team,AVG,OBP,SLG,HR,RBI,BB%,K%,HardHit%,AVG_norm,RBI_norm,OBP_norm,score
Aaron Judge,NYY,0.358,0.458,0.712,28,63,0.15,0.258,0.5479999999999999,1.0,0.8846153846153848,1.0,0.9653846153846155
Pete Alonso,NYM,0.292,0.383,0.545,18,65,0.102,0.231,0.55,0.6373626373626373,0.9230769230769231,0.6590909090909092,0.7274225774225774
Jonathan Aranda,TBR,0.331,0.411,0.496,9,42,0.1,0.23399999999999999,0.547,0.851648351648352,0.4807692307692308,0.7863636363636364,0.7273276723276725
Jacob Wilson,ATH,0.341,0.382,0.477,9,40,0.054000000000000006,0.073,0.259,0.9065934065934069,0.44230769230769235,0.6545454545454545,0.716898101898102
Cal Raleigh,SEA,0.275,0.385,0.651,32,69,0.142,0.252,0.5,0.5439560439560442,1.0000000000000002,0.6681818181818182,0.7056143856143858
Will Smith,LAD,0.319,0.415,0.523,9,42,0.142,0.185,0.457,0.7857142857142858,0.4807692307692308,0.8045454545454545,0.6979970029970031
Shohei Ohtani,LAD,0.295,0.396,0.649,29,54,0.138,0.249,0.61,0.653846153846154,0.7115384615384617,0.7181818181818183,0.6840209790209791
James Wood,WSN,0.278,0.377,0.553,22,64,0.138,0.273,0.5770000000000001,0.5604395604395607,0.903846153846154,0.6318181818181818,0.6777372627372629
Riley Greene,DET,0.292,0.345,0.522,17,61,0.071,0.307,0.469,0.6373626373626373,0.8461538461538463,0.48636363636363633,0.6698001998001998
Josh Naylor,ARI,0.304,0.359,0.474,10,53,0.08,0.13,0.431,0.7032967032967035,0.6923076923076925,0.55,0.6693406593406594
Rafael Devers,- - -,0.27,0.396,0.498,17,63,0.16399999999999998,0.23199999999999998,0.556,0.5164835164835166,0.8846153846153848,0.7181818181818183,0.6672627372627374
Jeremy Pena,HOU,0.322,0.378,0.489,11,40,0.057,0.157,0.415,0.8021978021978025,0.44230769230769235,0.6363636363636365,0.6610639360639362
Jose Ramirez,CLE,0.317,0.378,0.514,13,38,0.083,0.10800000000000001,0.402,0.7747252747252749,0.4038461538461539,0.6363636363636365,0.6357892107892109
Alejandro Kirk,TOR,0.316,0.363,0.439,7,39,0.071,0.09699999999999999,0.5660000000000001,0.7692307692307694,0.4230769230769231,0.5681818181818181,0.6251748251748253
Freddie Freeman,LAD,0.305,0.375,0.492,9,42,0.096,0.203,0.447,0.7087912087912089,0.4807692307692308,0.6227272727272728,0.6231718281718283
Kyle Tucker,CHC,0.283,0.391,0.52,16,49,0.147,0.14400000000000002,0.461,0.5879120879120878,0.6153846153846154,0.6954545454545455,0.6176623376623377
Elly De La Cruz,CIN,0.279,0.352,0.511,18,56,0.09699999999999999,0.256,0.469,0.5659340659340661,0.7500000000000002,0.5181818181818181,0.6116033966033968
Manny Machado,SDP,0.295,0.357,0.487,13,47,0.091,0.16699999999999998,0.496,0.653846153846154,0.5769230769230769,0.540909090909091,0.6081818181818182
Andy Pages,LAD,0.289,0.325,0.5,16,54,0.040999999999999995,0.19399999999999998,0.38299999999999995,0.6208791208791209,0.7115384615384617,0.3954545454545455,0.602992007992008
Maikel Garcia,KCR,0.311,0.368,0.483,8,36,0.08199999999999999,0.14,0.441,0.7417582417582418,0.36538461538461536,0.590909090909091,0.5986763236763237
Seiya Suzuki,CHC,0.259,0.315,0.534,21,67,0.081,0.266,0.504,0.4560439560439562,0.9615384615384617,0.3500000000000001,0.5864835164835167
Eugenio Suarez,ARI,0.254,0.325,0.568,25,67,0.065,0.254,0.507,0.4285714285714286,0.9615384615384617,0.3954545454545455,0.5818381618381618
Christian Yelich,MIL,0.263,0.34,0.454,15,59,0.09699999999999999,0.264,0.493,0.4780219780219781,0.8076923076923077,0.46363636363636385,0.5740459540459542
Gleyber Torres,DET,0.285,0.387,0.431,8,41,0.136,0.126,0.379,0.5989010989010988,0.4615384615384616,0.6772727272727275,0.5733666333666334
Hunter Goodman,COL,0.287,0.332,0.512,14,48,0.055,0.265,0.514,0.6098901098901099,0.5961538461538463,0.42727272727272747,0.5692457542457543
Trea Turner,PHI,0.302,0.356,0.465,11,37,0.067,0.161,0.409,0.6923076923076923,0.38461538461538464,0.5363636363636364,0.5688111888111889
Vladimir Guerrero Jr.,TOR,0.284,0.39,0.449,11,40,0.134,0.13699999999999998,0.54,0.5934065934065933,0.44230769230769235,0.6909090909090911,0.5675774225774226
Pete Crow-Armstrong,CHC,0.268,0.304,0.549,21,61,0.040999999999999995,0.23800000000000002,0.43,0.5054945054945057,0.8461538461538463,0.30000000000000004,0.5665934065934068
Byron Buxton,MIN,0.278,0.346,0.56,18,49,0.08900000000000001,0.264,0.534,0.5604395604395607,0.6153846153846154,0.49090909090909096,0.5630169830169831
Geraldo Perdomo,ARI,0.259,0.356,0.416,9,56,0.13,0.11900000000000001,0.321,0.4560439560439562,0.7500000000000002,0.5363636363636364,0.5602947052947055
Heliot Ramos,SFG,0.282,0.359,0.468,13,44,0.083,0.23600000000000002,0.43200000000000005,0.5824175824175823,0.5192307692307694,0.55,0.5569780219780219
Yandy Diaz,TBR,0.288,0.34,0.463,12,44,0.068,0.139,0.551,0.6153846153846154,0.5192307692307694,0.46363636363636385,0.5561888111888112
Kyle Schwarber,PHI,0.247,0.377,0.533,25,57,0.16,0.262,0.5760000000000001,0.3901098901098903,0.7692307692307694,0.6318181818181818,0.5521878121878123
Max Muncy,LAD,0.251,0.377,0.465,13,53,0.163,0.22,0.516,0.4120879120879122,0.6923076923076925,0.6318181818181818,0.5400999000999002
Juan Soto,NYM,0.259,0.397,0.514,20,46,0.187,0.157,0.565,0.4560439560439562,0.5576923076923077,0.7227272727272729,0.539875124875125
Sal Frelick,MIL,0.299,0.358,0.392,4,33,0.071,0.13,0.27699999999999997,0.6758241758241759,0.30769230769230776,0.5454545454545454,0.5393106893106894
Michael Busch,CHC,0.271,0.36,0.502,13,46,0.105,0.22,0.452,0.5219780219780221,0.5576923076923077,0.5545454545454545,0.5392057942057942
Ryan O'Hearn,BAL,0.296,0.383,0.476,11,30,0.10800000000000001,0.171,0.49700000000000005,0.6593406593406594,0.25000000000000006,0.6590909090909092,0.5364885114885116
Matt Olson,ATL,0.256,0.362,0.472,15,52,0.14,0.228,0.5429999999999999,0.4395604395604398,0.6730769230769231,0.5636363636363637,0.5344305694305695
Alec Burleson,STL,0.3,0.335,0.477,10,35,0.054000000000000006,0.13,0.446,0.6813186813186813,0.3461538461538462,0.44090909090909114,0.5326873126873127
Brendan Donovan,STL,0.3,0.368,0.423,5,29,0.08,0.131,0.42100000000000004,0.6813186813186813,0.23076923076923078,0.590909090909091,0.5280719280719282
Nick Castellanos,PHI,0.282,0.324,0.445,9,44,0.054000000000000006,0.195,0.39299999999999996,0.5824175824175823,0.5192307692307694,0.3909090909090911,0.5251598401598402
Bo Bichette,TOR,0.273,0.313,0.428,11,49,0.051,0.159,0.502,0.5329670329670333,0.6153846153846154,0.34090909090909105,0.5192807192807195
Brandon Lowe,TBR,0.273,0.32,0.481,17,47,0.063,0.24100000000000002,0.466,0.5329670329670333,0.5769230769230769,0.3727272727272728,0.5141058941058942
Nico Hoerner,CHC,0.294,0.339,0.378,2,34,0.053,0.068,0.28,0.6483516483516483,0.3269230769230769,0.4590909090909092,0.5140709290709291
Kyle Stowers,MIA,0.277,0.352,0.496,13,40,0.095,0.28600000000000003,0.525,0.5549450549450552,0.44230769230769235,0.5181818181818181,0.5138011988011989
J.P. Crawford,SEA,0.284,0.394,0.383,6,30,0.14800000000000002,0.175,0.313,0.5934065934065933,0.25000000000000006,0.7090909090909092,0.5135214785214786
Brent Rooker,ATH,0.271,0.347,0.479,16,43,0.098,0.20800000000000002,0.46399999999999997,0.5219780219780221,0.5,0.49545454545454537,0.5100799200799202
Bobby Witt Jr.,KCR,0.277,0.332,0.483,11,42,0.073,0.18,0.496,0.5549450549450552,0.4807692307692308,0.42727272727272747,0.5071578421578423
Teoscar Hernandez,LAD,0.265,0.298,0.492,14,53,0.043,0.239,0.447,0.48901098901098927,0.6923076923076925,0.2727272727272727,0.5067432567432569
